		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	LABELS	PPML	PPML	PPML	PPML	PPML	PPML	PPML	PPML	OLS D	OLS D	OLS D	OLS D
													
L.n	nonaligned_ipd = L,					0.0307***	0.0101***	0.0126***	0.0044***				
						(0.002)	(0.001)	(0.002)	(0.001)				
1o.postwar	postwar = 1, omitted					-	-	-	-	-	-	-	-
													
2o.linksipd2	linksipd2 = 2, omitted					-	-	-	-	-	-	-	-
													
3o.linksipd2	linksipd2 = 3, omitted					-	-	-	-	-	-	-	-
													
0b.postwar#1b.linksipd2						0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
						(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
0b.postwar#2o.linksipd2						0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
						(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
0b.postwar#3o.linksipd2						0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
						(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
1o.postwar#1b.linksipd2						0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
						(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
1.postwar#2.linksipd2						-0.3690***	-0.2039***	-0.3051***	0.0598	-0.0121	-0.0324*	-0.0422	-0.0570*
						(0.066)	(0.071)	(0.103)	(0.079)	(0.016)	(0.017)	(0.026)	(0.030)
1.postwar#3.linksipd2						-0.0166	-0.1986***	0.0070	-0.0472	0.0034	-0.0269	-0.0212	-0.0356
						(0.038)	(0.071)	(0.046)	(0.074)	(0.015)	(0.022)	(0.021)	(0.032)
btw3_pst2		-0.0904**	-0.0864**	-0.1340**	-0.1300**								
		(0.038)	(0.043)	(0.059)	(0.054)								
una3_pst2		0.0710**	0.0329	0.0453	0.0145								
		(0.031)	(0.042)	(0.028)	(0.041)								
L.total_trade		0.0000***	0.0000***	0.0000	0.0000***								
		(0.000)	(0.000)	(0.000)	(0.000)								
L.total_share	total_share = L,									-0.3020***	-0.3012***	-0.4084***	-0.3980***
										(0.027)	(0.029)	(0.055)	(0.054)
													
Observations		254,688	254,572	254,660	254,589	157,872	139,263	160,512	142,297	230,639	230,622	230,656	230,622
R-squared										0.177	0.195	0.221	0.251
Country-pair FE		Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Time FE		Y	-	Y	-	Y	-	Y	-	Y	-	Y	-
Source x Time FE		N	Y	N	Y	N	Y	N	Y	N	Y	N	Y
Destination x Time FE		N	Y	N	Y	N	Y	N	Y	N	Y	N	Y
Blocs		Wider	Wider	Wider	Wider	Wider	Wider	Wider	Wider	Wider	Wider	Wider	Wider
Sample		No US	No US	No CN	No CN	No US	No US	No CN	No CN	No US	No US	No CN	No CN
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
