		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	LABELS	1	1	1	1	1	1	1	1	1	1	1	1	1	1
															
0b.tariff#c.delta_CNexp								-0.1038							-0.0061
								(0.148)							(0.013)
1.tariff#c.delta_CNexp								0.4538***							-0.0201
								(0.166)							(0.063)
growth	(mean) ngdp_rpch		0.3909***		0.5680***		0.6874***	0.6796***		0.1583**		0.3614***		0.5033***	0.5030***
			(0.056)		(0.137)		(0.126)	(0.125)		(0.062)		(0.082)		(0.130)	(0.130)
delta_CNexp	delta_CNexp	1.3758***	1.2361***	0.6028***	0.5048***	0.5108***	0.4329***		0.0893	0.0770	0.0109	-0.0044	0.0059	-0.0098	
		(0.404)	(0.425)	(0.206)	(0.195)	(0.161)	(0.159)		(0.070)	(0.065)	(0.021)	(0.021)	(0.021)	(0.021)	
															
Observations		1,308	1,308	7,685	7,685	22,021	22,021	22,021	1,162	1,161	6,438	6,436	17,016	17,015	17,015
R-squared		0.578	0.646	0.611	0.640	0.656	0.674	0.675	0.233	0.263	0.515	0.541	0.674	0.685	0.685
Country FE		N	N	N	N	N	N	N	N	N	N	N	N	N	N
Sector FE		Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Countries		Non-aligned	Non-aligned	Non-aligned	Non-aligned	Non-aligned	Non-aligned	Non-aligned	Non-aligned	Non-aligned	Non-aligned	Non-aligned	Non-aligned	Non-aligned	Non-aligned
HS codes		share>0.5	share>0.5	share>0.5	share>0.5	share>0.5	share>0.5	share>0.5	share>0.5	share>0.5	share>0.5	share>0.5	share>0.5	share>0.5	share>0.5
Weights		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in parentheses															
*** p<0.01, ** p<0.05, * p<0.1															
