		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	All	AEs	EMDEs	US bloc	Others
						
d2008_2012	d2008_2012	0.3388**	0.4303***	0.2727	0.3975***	0.2856
		(0.135)	(0.123)	(0.189)	(0.120)	(0.200)
d2013_2021	d2013_2021	0.0736	0.4728***	-0.1270	0.2748	-0.0622
		(0.119)	(0.165)	(0.155)	(0.164)	(0.163)
post2022	post2022	0.9899***	1.4318***	0.7507***	1.5973***	0.6116**
		(0.209)	(0.243)	(0.285)	(0.245)	(0.294)
						
Observations		2,639	785	1,854	893	1,746
R-squared		0.491	0.447	0.455	0.403	0.463
Country FE		Y	Y	Y	Y	Y
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
