		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	All	AEs	EMDEs	US bloc	Others
						
1.time	time = 1	0.1136	-1.0572	0.9119	-0.5016	0.6639
		(0.654)	(0.930)	(0.870)	(0.870)	(0.953)
2.time	time = 2	0.4424	-0.6077	1.1596	-0.3118	1.0977
		(0.672)	(1.039)	(0.865)	(0.919)	(0.964)
3.time	time = 3	2.8543***	5.6496***	1.1920	4.8882***	1.2284
		(0.978)	(1.787)	(1.041)	(1.459)	(1.258)
						
Observations		1,504	577	927	665	839
R-squared		0.287	0.285	0.298	0.274	0.302
Country FE		Y	Y	Y	Y	Y
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
