y_au,pi_au,i_au,q_au,s_au,y_us,pi_us,i_us
1.47384477,7.299472635,17.40666667,4.804209341,2.944998108,-3.252562137,3.539219692,14.22666667
1.380261852,9.294430672,19.47,2.018887063,-2.581581596,-3.550260632,5.737373157,14.51333333
-0.018937043,13.89028455,16.64,5.599372427,0.608644606,-4.759785923,6.887222486,11.00666667
-2.326076667,11.43896286,13.82,-1.262599241,0.981602974,-5.501118422,1.227203962,9.286666667
-4.207822692,8.531906723,13.22666667,0.645477094,-0.492005913,-5.104332524,0.27220144,8.653333333
-5.188926671,8.353717267,13.43666667,5.366300718,-1.219527309,-3.701723618,4.599306675,8.803333333
-3.045806944,6.934767861,12.00666667,-1.956380859,0.121285643,-2.573770766,3.881576385,9.46
-1.946524945,9.266823713,10.12666667,-4.099999452,-1.206287245,-1.37306343,3.976175882,9.43
-0.349161829,-1.836269483,11.85666667,-0.481941927,0.36036075,-0.25946816,5.631129175,9.686666667
-0.780767889,1.225115812,13.49,4.836274663,-0.480193,0.62409932,3.753465497,10.55666667
-0.731975823,4.863281792,11.46333333,6.154088072,-0.477898162,0.770193625,3.463225097,11.39
-0.158286597,5.997113834,11.59,-1.603688127,0.238663598,0.768724396,3.433497477,9.266666667
0.663700591,5.321586251,14.15,12.27128046,0.479042832,0.870764004,3.655295643,8.476666667
2.146628438,9.289241844,15.69,10.860794,6.573972248,0.903634926,3.622194932,7.923333333
2.546768169,9.078403862,16.05666667,-9.548925694,1.030936966,1.639448834,2.479090675,7.9
2.168560382,7.778022848,18.03333333,2.499953421,4.639665784,1.58941209,4.057203986,8.103333333
1.61147205,9.24582292,17.9,-4.773096191,0.407886357,1.728020488,2.074123909,7.826666667
0.278327542,6.400136539,15.05666667,-2.289795691,0,1.312260292,-1.95181845,6.92
0.469196481,10.4444576,16.76666667,13.10222867,4.742869357,1.454841012,2.438288562,6.206666667
0.589762277,11.18243091,16.08333333,-8.524383323,0.286123228,1.148257113,2.785779617,6.266666667
0.943885454,7.940707421,16.32333333,-5.054785947,-0.428878427,0.99636418,4.799097759,6.22
1.261681604,5.853763007,14.3,-5.022239005,-2.117227993,1.283364669,4.506421811,6.65
1.944095138,6.722847327,12.41,-0.193908008,-2.754995177,1.381607498,4.222913122,6.843333333
