OBS	USCPILD400	USYDEVQTR	USFFR 	AU_CPILD400	AUREERCPINEW	AU_BB90	AU_GDPRDEVQTR	AU_GMTOTLD
1982	3.539219692	-3.252562137	14.22666667	7.299472635	4.804209341	17.40666667	1.47384477	2.944998108
1982.25	5.737373157	-3.550260632	14.51333333	9.294430672	2.018887063	19.47	1.380261852	-2.581581596
1982.5	6.887222486	-4.759785923	11.00666667	13.89028455	5.599372427	16.64	-0.018937043	0.608644606
1982.75	1.227203962	-5.501118422	9.286666667	11.43896286	-1.262599241	13.82	-2.326076667	0.981602974
1983	0.27220144	-5.104332524	8.653333333	8.531906723	0.645477094	13.22666667	-4.207822692	-0.492005913
1983.25	4.599306675	-3.701723618	8.803333333	8.353717267	5.366300718	13.43666667	-5.188926671	-1.219527309
1983.5	3.881576385	-2.573770766	9.46	6.934767861	-1.956380859	12.00666667	-3.045806944	0.121285643
1983.75	3.976175882	-1.37306343	9.43	9.266823713	-4.099999452	10.12666667	-1.946524945	-1.206287245
1984	5.631129175	-0.25946816	9.686666667	-1.836269483	-0.481941927	11.85666667	-0.349161829	0.36036075
1984.25	3.753465497	0.62409932	10.55666667	1.225115812	4.836274663	13.49	-0.780767889	-0.480193
1984.5	3.463225097	0.770193625	11.39	4.863281792	6.154088072	11.46333333	-0.731975823	-0.477898162
1984.75	3.433497477	0.768724396	9.266666667	5.997113834	-1.603688127	11.59	-0.158286597	0.238663598
1985	3.655295643	0.870764004	8.476666667	5.321586251	12.27128046	14.15	0.663700591	0.479042832
1985.25	3.622194932	0.903634926	7.923333333	9.289241844	10.860794	15.69	2.146628438	6.573972248
1985.5	2.479090675	1.639448834	7.9	9.078403862	-9.548925694	16.05666667	2.546768169	1.030936966
1985.75	4.057203986	1.58941209	8.103333333	7.778022848	2.499953421	18.03333333	2.168560382	4.639665784
1986	2.074123909	1.728020488	7.826666667	9.24582292	-4.773096191	17.9	1.61147205	0.407886357
1986.25	-1.95181845	1.312260292	6.92	6.400136539	-2.289795691	15.05666667	0.278327542	0
1986.5	2.438288562	1.454841012	6.206666667	10.4444576	13.10222867	16.76666667	0.469196481	4.742869357
1986.75	2.785779617	1.148257113	6.266666667	11.18243091	-8.524383323	16.08333333	0.589762277	0.286123228
1987	4.799097759	0.99636418	6.22	7.940707421	-5.054785947	16.32333333	0.943885454	-0.428878427
1987.25	4.506421811	1.283364669	6.65	5.853763007	-5.022239005	14.3	1.261681604	-2.117227993
1987.5	4.222913122	1.381607498	6.843333333	6.722847327	-0.193908008	12.41	1.944095138	-2.754995177
1987.75	3.716635334	2.308645269	6.916666667	7.07983084	0.397109679	11.96666667	3.179076844	-0.135777346
1988	3.10927145	1.99356789	6.663333333	6.956697085	-4.189602816	10.98333333	2.999602505	-3.204546567
1988.25	4.562353424	2.455761407	7.156666667	6.837773344	-8.750015506	12.25666667	2.310989559	-4.622132093
1988.5	4.847177815	2.187156808	7.983333333	7.610750022	-2.235569064	13.34666667	2.204468581	-4.777393429
1988.75	4.346051948	2.69988767	8.47	7.903659992	-7.54978172	14.61333333	2.6685302	-0.715140116
1989	4.518576773	2.912134398	9.443333333	3.894027508	2.177046005	16.45	2.937554062	-4.527761169
1989.25	6.414052365	2.769402607	9.726666667	9.782518391	7.967823292	17.78333333	4.089341479	0.455063356
1989.5	3.11536421	2.685328551	9.083333333	9.13850754	-1.414300496	18.04666667	4.335545827	2.073807039
1989.75	4.0458157	2.14480763	8.613333333	7.324721457	-3.524278927	18.16666667	3.602642977	-0.696058495
1990	6.827000432	2.500650018	8.25	6.796765227	3.14890765	16.45666667	3.682135398	0.579711768
1990.25	3.937855638	1.964732571	8.243333333	6.293148488	-1.659935469	15.07	2.641458555	-0.348230184
1990.5	6.850007657	1.181983984	8.16	3.109831019	-4.287788541	14.09	1.277215733	1.51783416
1990.75	6.734673474	-0.365021088	7.743333333	10.32068719	3.313716934	12.55666667	0.492682982	4.082199452
1991	2.97915975	-1.662444083	6.426666667	-0.755429875	0.390644169	11.68	-1.127013567	2.10534092
1991.25	2.367454507	-1.801891163	5.863333333	0.755429875	1.885023875	10.82333333	-2.168889494	0.879955395
1991.5	3.037369157	-2.103976349	5.643333333	2.257767048	-1.992452598	10.01666667	-3.038639849	-0.629328698
1991.75	3.305000576	-2.419407307	4.816666667	3.734854398	1.321101808	8.383333333	-3.731685892	0.629328698
1992	2.701409206	-2.170486508	4.023333333	0	3.0879359	7.493333333	-3.590418424	0
1992.25	3.065149098	-1.991275254	3.77	-1.116799236	1.301005087	6.72	-4.264532482	0.760459939
1992.5	3.041839754	-1.794578491	3.256666667	0.372612975	4.966621542	5.77	-4.05332059	2.056627758
1992.75	3.488531246	-1.476775521	3.036666667	1.857876076	5.407170895	5.88	-3.220982989	1.307208157
1993	2.8995801	-2.132162779	3.04	3.69006307	-0.892302488	5.693333333	-2.963238753	0
