OBS	USCPILD400	USYDEVQTR	USFFR	CNINFEFE400	CNRERIEFELD	CNR3MTB	CNGDPRDEVQTR	CNMXGDEFLD
1980.25	13.27371899	1.426041889	12.68666667	10.56166963	1.217809951	13.01	-0.1131082	2.625402413
1980.5	7.437562701	0.416876993	9.836666667	9.781695308	-1.588357709	10.313	-0.711912859	-0.334701003
1980.75	11.05915624	1.413966501	15.85333333	8.553788896	2.782441969	13.583	-0.161328836	0.401783902
1981	10.91326096	2.581001951	16.57	9.834555032	1.07502289	16.76	1.736967307	2.941254966
1981.25	8.253903814	0.959266625	17.78	11.25484146	-0.323203806	18.12	2.089647813	-0.663946529
1981.5	10.98768957	1.32502255	17.57666667	11.17651126	1.012615176	19.94	0.80715395	1.36801039
1981.75	6.450596701	-0.765301028	13.58666667	12.65642838	-3.197689493	16.29	-0.283670396	-0.401136695
1982	3.539219692	-3.252562137	14.22666667	9.018808848	0.066006598	14.633	-1.847134875	2.01842262
1982.25	5.737373157	-3.550260632	14.51333333	10.30652661	1.746315991	15.42	-3.409932983	0.912453196
1982.5	6.887222486	-4.759785923	11.00666667	8.390449164	0.052829328	14.42	-4.878529025	-0.004166348
1982.75	1.227203962	-5.501118422	9.286666667	9.233554412	-3.461138603	10.837	-6.39882445	-1.446442049
1983	0.27220144	-5.104332524	8.653333333	3.031082865	-1.014686654	9.38	-5.458089385	-0.530680654
1983.25	4.599306675	-3.701723618	8.803333333	4.802461822	0.254898854	9.193	-3.776217433	0.265075311
1983.5	3.881576385	-2.573770766	9.46	5.138392459	-0.186217667	9.283	-3.320011349	-0.52962573
1983.75	3.976175882	-1.37306343	9.43	5.267093104	0.1306968	9.437	-2.714411603	0.662692949
1984	5.631129175	-0.25946816	9.686666667	1.933304861	2.271711086	9.943	-1.572642952	0.259067502
1984.25	3.753465497	0.62409932	10.55666667	3.647736341	2.952587348	11.19	-0.458215141	-0.00590281
1984.5	3.463225097	0.770193625	11.39	3.614757347	1.597062849	12.367	-0.637950086	1.383121029
1984.75	3.433497477	0.768724396	9.266666667	3.394651309	0.370612143	10.89	0.436801999	0.885916075
1985	3.655295643	0.870764004	8.476666667	2.620508249	2.879367542	10.39	1.194415762	-0.634165851
1985.25	3.622194932	0.903634926	7.923333333	5.374186023	0.736167772	9.61	0.862919832	-0.769317006
1985.5	2.479090675	1.639448834	7.9	5.121232095	-1.358508512	9.033	1.785523029	0.878850603
1985.75	4.057203986	1.58941209	8.103333333	3.978341244	1.431954552	8.797	2.850259678	0.725370964
1986	2.074123909	1.728020488	7.826666667	3.939162591	1.296218436	10.69	1.885658628	1.459710988
1986.25	-1.95181845	1.312260292	6.92	7.938504954	-3.87178941	8.69	2.135134008	0.067988392
1986.5	2.438288562	1.454841012	6.206666667	5.378521254	-0.658576981	8.313	1.775451141	0.646760573
1986.75	2.785779617	1.148257113	6.266666667	4.455926273	-0.458317006	8.27	0.587648075	-1.528398121
1987	4.799097759	0.99636418	6.22	2.548307392	-2.908793851	7.343	2.111062609	-0.591045928
1987.25	4.506421811	1.283364669	6.65	4.881203667	-0.477283364	7.96	2.713443163	-1.779196548
1987.5	4.222913122	1.381607498	6.843333333	5.317896157	-1.041371524	8.9	3.70262622	-0.258015735
1987.75	3.716635334	2.308645269	6.916666667	3.94252703	-0.900459545	8.473	4.39631428	-1.356889022
1988	3.10927145	1.99356789	6.663333333	3.742151457	-3.557498384	8.39	5.276280676	0.616144894
1988.25	4.562353424	2.455761407	7.156666667	5.787867729	-3.307130514	8.947	5.802042813	0
1988.5	4.847177815	2.187156808	7.983333333	4.602314793	-0.822296956	9.717	5.435284764	-1.883294833
1988.75	4.346051948	2.69988767	8.47	5.484928661	-1.318713405	10.61	5.62903304	0.13325017
1989	4.518576773	2.912134398	9.443333333	4.796020795	-1.296147333	11.523	6.03156641	-1.227842872
1989.25	6.414052365	2.769402607	9.726666667	6.558767334	0.075185657	12.187	5.831848799	-0.09549511
1989.5	3.11536421	2.685328551	9.083333333	5.707949828	-1.548751356	12.14	5.376781494	0.579487811
1989.75	4.0458157	2.14480763	8.613333333	4.301916554	-1.24712706	12.213	4.858173221	0.610600001
1990	6.827000432	2.500650018	8.25	3.817952753	1.947345931	12.73	4.918957248	1.510391977
1990.25	3.937855638	1.964732571	8.243333333	3.49219226	-0.917807745	13.54	3.838123306	-0.257218952
1990.5	6.850007657	1.181983984	8.16	4.179467371	-0.815657019	12.907	2.529214962	-0.118011358
1990.75	6.734673474	-0.365021088	7.743333333	4.7034149	1.189755542	12.043	1.014188521	1.36050495
1991	2.97915975	-1.662444083	6.426666667	3.450421888	-0.567632381	10.157	-1.176336695	0.904724316
1991.25	2.367454507	-1.801891163	5.863333333	1.958388245	-0.500391675	9.001	-1.583554282	0.287076548
1991.5	3.037369157	-2.103976349	5.643333333	1.94884673	-0.189444961	8.562	-1.901289064	0.921499007
1991.75	3.305000576	-2.419407307	4.816666667	1.455429138	-0.32405458	7.601	-2.210886601	0.014225763
1992	2.701409206	-2.170486508	4.023333333	1.748189606	3.905869475	7.218	-3.037300057	-0.052595594
1992.25	3.065149098	-1.991275254	3.77	1.606971786	1.792896917	6.304	-3.435604854	-0.043976118
1992.5	3.041839754	-1.794578491	3.256666667	1.600521587	0.982982355	5.251	-3.746938124	0.089763665
1992.75	3.488531246	-1.476775521	3.036666667	2.256534417	5.175872309	7.262	-4.051825207	1.108919773
1993	2.8995801	-2.132162779	3.04	2.769990822	0.036473963	6.051	-4.004470065	-0.34557101
1993.25	2.878712367	-2.401987198	3	0.394157369	1.30144624	4.98	-4.049369621	-0.632280539
1993.5	1.846299147	-2.663938532	3.06	2.35680289	2.463922091	4.468	-4.117713981	1.371769788
1993.75	3.302013707	-2.099828564	2.99	2.732160233	1.754360185	4.208	-3.910295638	0.188542796
1994	2.004560004	-1.859509898	3.213333333	-2.732150051	2.40813614	3.946	-3.117510507	-0.515926698
1994.25	2.26578152	-1.333656434	3.94	-2.356813073	4.196638916	6.154	-2.334045434	0.888806944
1994.5	3.688320296	-1.543683406	4.486666667	1.70352834	-0.301400991	5.666	-1.641334288	-1.70659668
1994.75	2.321435087	-1.144976422	5.166666667	2.346806476	-0.272888947	5.901	-1.456035603	-0.365789502
1995	2.927166849	-1.633618472	5.81	3.494608354	2.68799006	7.884	-1.2459753	-0.094617966
1995.25	3.256701894	-2.219978875	6.02	2.184740403	-2.298339549	7.454	-1.961635742	-1.890776083
1995.5	2.011152996	-2.171894015	5.796666667	2.555102919	-1.288620794	6.54	-2.657662959	-1.588832201
1995.75	2.174627516	-2.205234542	5.72	0.890449976	0.343877939	6.049	-2.935436523	-0.217983985
1996	3.540992573	-2.262964912	5.363333333	0.888462109	1.629146948	5.215	-3.5273707	0.110300887
1996.25	3.424678454	-1.396612305	5.243333333	1.518504836	0.149790706	4.777	-3.852292444	-0.428266179
1996.5	2.295192781	-1.319998152	5.306666667	2.015750431	0.488038133	4.216	-3.40597713	-0.422387112
1996.75	3.4603022	-0.914658401	5.28	1.630346233	-1.026812006	3.028	-3.144016417	-0.661662867
1997	2.429581247	-0.900161037	5.276666667	1.499080094	0.881586703	2.918	-2.906057611	-0.200411438
1997.25	0.917718621	-0.145464328	5.523333333	2.114100107	1.681599064	3.039	-2.492173998	1.711709011
1997.5	1.995016604	0.338916934	5.533333333	0.743492905	0.22695656	3.136	-1.901976428	0.102343493
1997.75	2.15009821	0.321958319	5.506666667	0.123779547	2.199353605	3.732	-1.780417253	0.643305888
1998	0.823893185	0.671853531	5.52	2.467620434	1.103282626	4.439	-1.252460574	1.281843216
1998.25	1.314709483	0.582017089	5.5	1.473303817	1.105522218	4.738	-1.735861187	-0.002282923
1998.5	2.045621723	0.979127201	5.533333333	1.345770955	4.725120837	5.026	-1.385576213	2.167256112
1998.75	1.872776958	1.740458369	4.86	0.48825334	2.2372362	4.747	-0.496327254	0.911169267
1999	1.459559698	1.840967527	4.733333333	0.609477366	-1.844756069	4.765	0.30606664	-0.873611657
1999.25	2.983584037	1.92107027	4.746666667	3.396012523	-2.698137482	4.491	0.713829322	-2.420084377
1999.5	2.961494268	2.339345211	5.093333333	2.047894374	1.144081261	4.715	1.363905113	-1.269512476
1999.75	2.939729192	3.359586451	5.306666667	0.240236524	-0.268185914	4.823	2.24217785	0
2000	3.938590309	2.873216457	5.676666667	0.36008465	-0.396060668	5.124	2.835817258	-1.972186969
2000.25	3.123185884	3.69291732	6.273333333	2.749977092	1.930048539	5.562	3.199453233	-0.762545027
2000.5	3.638852154	2.841024748	6.52	2.494447401	0.413027345	5.604	3.672333678	-0.970989646
2000.75	2.841521021	2.623751453	6.473333333	1.300427795	3.257419801	5.626	3.168552405	-0.460673892
2001	3.808101877	1.765992583	5.593333333	0.943122268	0.84148621	4.958	2.823744246	-1.982131906
2001.25	2.794837166	1.339433683	4.326666667	3.517021438	0.702309112	4.363	2.193931259	2.16867805
2001.5	1.127502391	0.255044085	3.496666667	2.907403286	-0.118129342	3.753	1.266820242	3.196170886
2001.75	-0.300356688	-0.081540357	2.133333333	-0.463761095	2.267185414	2.338	1.340297748	3.434811039
2002	1.274961237	-0.134594416	1.733333333	1.505279411	0.810154394	2.07	1.767843658	-0.321106303
2002.25	3.132591062	-0.319969061	1.75	5.623390863	-3.192028828	2.547	1.569787985	-2.616363289
2002.5	2.148750189	-0.459282204	1.74	4.983070149	-0.112961019	2.848	1.672508268	1.004024499
2002.75	2.357715428	-1.134097534	1.443333333	2.244683346	0.413683038	2.747	1.628180857	-1.683571573
2003	3.729119414	-1.559136191	1.25	2.120829757	-3.504589467	2.89	1.268580712	-3.922341734
2003.25	0.218281042	-1.429498195	1.246666667	1.666437648	-8.118558044	3.188	0.347055828	1.313636262
2003.5	2.465562556	-0.345774184	1.016666667	0.996550384	-0.813194047	2.768	-0.136455463	-1.832706476
2003.75	1.082935415	-0.411947961	0.996666667	2.205676827	-5.062866513	2.65	-0.0436452	-0.818872341
2004	3.44582174	-0.400960337	1.003333333	0.219897754	0.952260102	2.198	-0.172620305	-2.531168567
