OBS	USCPIld400	USYdevqtr	USFFR	NZCPIAld400	NZRERld	NZBB3M	NZGDPRdevqtr	NZGMTOTld
1987.25	4.506421811	1.283364669	6.65	12.89339783	-7.602673582	22.69	2.39765407	-4.162703951
1987.5	4.222913122	1.381607498	6.843333333	6.622667838	-5.005492135	18.55	2.453554825	0.107353741
1987.75	3.716635334	2.308645269	6.916666667	7.805125689	-5.688238979	18.24	3.069891378	-3.067400718
1988	3.10927145	1.99356789	6.663333333	7.023324885	-5.006609139	16.57	3.191744379	-2.06192872
1988.25	4.562353424	2.455761407	7.156666667	3.15210457	-2.911536622	15.99	2.264592575	-0.610378294
1988.5	4.847177815	2.187156808	7.983333333	3.750027466	6.253880705	14.64	2.893437543	-1.209692171
1988.75	4.346051948	2.69988767	8.47	4.331055461	1.74108854	14.37	2.391644098	-2.082375691
1989	4.518576773	2.912134398	9.443333333	4.893027374	2.151142381	13.51	2.769961843	-1.170745079
1989.25	6.414052365	2.769402607	9.726666667	4.232843732	4.013786897	13.45	2.82818949	-0.387222168
1989.5	3.11536421	2.685328551	9.083333333	14.18169214	-0.872087084	13.27	-0.99881346	-1.534066518
1989.75	4.0458157	2.14480763	8.613333333	4.617655899	-0.735201869	13.93	0.527815093	-1.229329902
1990	6.827000432	2.500650018	8.25	3.997178159	0.197850464	13.81	0.816829724	-0.187793482
1990.25	3.937855638	1.964732571	8.243333333	6.760724321	1.808930361	13.63	-0.550325931	3.532586889
1990.5	6.850007657	1.181983984	8.16	3.891622079	-4.367698268	14.29	-0.778728036	0.194552591
1990.75	6.734673474	-0.365021088	7.743333333	4.401695036	0.964989188	13.85	0.25870148	5.607074164
1991	2.97915975	-1.662444083	6.426666667	2.726663592	1.635925369	12.09	-3.492189649	1.556855524
1991.25	2.367454507	-1.801891163	5.863333333	0	2.728853619	10.43	-4.374030237	-3.089844155
1991.5	3.037369157	-2.103976349	5.643333333	1.627120888	2.18276767	9.33	-4.374391034	0.916970256
1991.75	3.305000576	-2.419407307	4.816666667	-0.541638539	3.379812209	8.01	-4.331286971	1.755336758
1992	2.701409206	-2.170486508	4.023333333	1.622720278	3.140524852	7.42	-4.554769595	-0.933132743
1992.25	3.065149098	-1.991275254	3.77	1.078167769	1.302294049	6.89	-4.247187777	0
1992.5	3.041839754	-1.794578491	3.256666667	1.611822194	-0.213017999	6.19	-6.630558793	-2.647812527
1992.75	3.488531246	-1.476775521	3.036666667	1.070951108	3.895488353	6.42	-6.55207109	-0.80080508
1993	2.8995801	-2.132162779	3.04	0.534402217	1.619002321	7.55	-5.055534197	-1.386160809
1993.25	2.878712367	-2.401987198	3	2.130497713	-3.74032486	6.72	-4.106600732	-0.294551023
1993.5	1.846299147	-2.663938532	3.06	2.119210255	-2.007642665	5.54	-2.683410898	0.49140148
1993.75	3.302013707	-2.099828564	2.99	0.528052882	0.475826357	5.52	-1.578957774	1.588911283
1994	2.004560004	-1.859509898	3.213333333	0	-2.53890997	4.91	0.097186478	-1.194044037
1994.25	2.26578152	-1.333656434	3.94	1.579988888	-1.905217883	6.15	0.039009431	1.394444906
1994.5	3.688320296	-1.543683406	4.486666667	5.222006281	-3.823262336	7.21	-0.489761744	-0.300450902
1994.75	2.321435087	-1.144976422	5.166666667	4.642218448	-3.978131912	8.67	0.637142056	-2.371652662
1995	2.927166849	-1.633618472	5.81	4.588960465	-3.239192404	9.36	1.314250482	1.178795575
1995.25	3.256701894	-2.219978875	6.02	3.533145999	-4.322564281	9.12	1.813793028	3.82725462
1995.5	2.011152996	-2.171894015	5.796666667	1.003764642	1.10318924	9.03	1.528945648	-0.512033889
1995.75	2.174627516	-2.205234542	5.72	2.000004167	1.356666326	8.53	1.169629923	-2.421914543
1996	3.540992573	-2.262964912	5.363333333	1.990053856	-2.452200978	8.66	1.557291531	1.304584483
1996.25	3.424678454	-1.396612305	5.243333333	2.966639062	-1.212045557	9.69	1.786070837	1.526747213
1996.5	2.295192781	-1.319998152	5.306666667	2.455501879	-1.51510529	9.96	2.320999944	-2.030526616
1996.75	3.4603022	-0.914658401	5.28	2.926842327	-1.797835426	8.89	2.203641563	2.441626887
1997	2.429581247	-0.900161037	5.276666667	-0.97323649	2.080577502	7.53	0.685338916	-0.102933617
1997.25	0.917718621	-0.145464328	5.523333333	0	1.157969018	7.16	2.91917891	0.619197025
1997.5	1.995016604	0.338916934	5.533333333	1.944110753	6.55865042	8.06	2.802807094	1.145249373
1997.75	2.15009821	0.321958319	5.506666667	2.416925782	4.576521487	7.89	1.490012334	-1.455327141
1998	0.823893185	0.671853531	5.52	0.481637626	6.581368066	8.95	-0.190887155	-1.536128516
1998.25	1.314709483	0.582017089	5.5	1.920771998	7.653953495	9.1	-0.590354152	2.261144639
1998.5	2.045621723	0.979127201	5.533333333	2.388066795	5.055585455	6.78	-0.851004603	-1.342302033
1998.75	1.872776958	1.740458369	4.86	-3.347299868	-2.152440538	4.58	-0.223097209	0.617285911
1999	1.459559698	1.840967527	4.733333333	-1.44317655	-1.723324879	4.45	0.493157349	1.664970824
1999.25	2.983584037	1.92107027	4.746666667	0.962696012	-0.196421896	4.68	0.459851473	-0.627617123
1999.5	2.961494268	2.339345211	5.093333333	1.439713612	3.69749342	4.81	1.432714848	-3.282345945
1999.75	2.939729192	3.359586451	5.306666667	0.956938255	3.070898286	5.37	1.12397437	3.386675636
2000	3.938590309	2.873216457	5.676666667	2.857155005	3.033817912	5.96	2.661058934	1.684250339
2000.25	3.123185884	3.69291732	6.273333333	2.836891324	3.884653233	6.71	1.251878688	-1.475263848
2000.5	3.638852154	2.841024748	6.52	5.149281174	7.990629567	6.74	0.664442776	-4.998490744
2000.75	2.841521021	2.623751453	6.473333333	4.62432896	6.863922203	6.67	0.219016104	0.398804118
2001	3.808101877	1.765992583	5.593333333	-0.460034553	-4.332815808	6.42	-0.601172456	-5.443520656
2001.25	2.794837166	1.339433683	4.326666667	3.209186268	4.156969519	5.86	0.247097163	1.141782147
2001.5	1.127502391	0.255044085	3.496666667	2.276614	-1.406664713	5.73	-0.053301257	-1.141782147
2001.75	-0.300356688	-0.081540357	2.133333333	2.263729868	0.272843978	4.96	0.798076622	2.19999308
2002	1.274961237	-0.134594416	1.733333333	2.250990746	-2.716056815	5.03	0.16706097	-1.535538808
2002.25	3.132591062	-0.319969061	1.75	4.020134341	-8.903754945	5.82	0.297759182	4.879016417
2002.5	2.148750189	-0.459282204	1.74	1.773838827	-1.496436756	5.91	1.046017249	1.816397063
2002.75	2.357715428	-1.134097534	1.443333333	2.646095647	-5.248563942	5.9	2.518144096	1.126484006
2003	3.729119414	-1.559136191	1.25	1.316512434	-9.456058521	5.83	2.261208706	-2.542078929
2003.25	0.218281042	-1.429498195	1.246666667	0	-3.604509262	5.45	1.394150079	-1.098363513
2003.5	2.465562556	-0.345774184	1.016666667	2.18460401	-2.514814279	5.12	1.302653541	0.298359247
2003.75	1.082935415	-0.411947961	0.996666667	2.605872408	-7.213169042	5.29	1.041243475	-3.040940545
2004	3.44582174	-0.400960337	1.003333333	1.727864458	-7.182577573	5.49	2.137694747	-2.103328017
2004.25	4.124480987	-0.262768066	1.01	3.005918601	7.500095421	5.85	1.609981859	-2.152633425
2004.5	2.116780385	-0.094838779	1.433333333	2.558644119	-4.128010525	6.44	0.829885619	0.278164296
2004.75	3.503262891	-0.180364797	1.95	3.38626361	-6.774326873	6.73	0.329302281	-0.370714048
2005	2.08732427	-0.137574634	2.47	1.682442018	-2.323652725	6.86	-0.204529839	-2.195879631
2005.25	3.798699015	-0.156492931	2.943333333	3.759818805	0.178956557	7.04	0.515978835	1.275062812
2005.5	5.461767739	0.224381682	3.46	4.547852608	3.785117627	7.05	-0.141359407	0.367309871
2005.75	3.376117274	-0.18875368	3.98	2.459024138	-0.224015992	7.49	-1.357300111	2.515270002
2006	1.878252655	0.279404025	4.456666667	2.443999457	4.162887305	7.55	-1.878804947	-0.845472392
2006.25	4.921911119	0.175878797	4.906666667	6.045455124	6.078064837	7.48	-2.610673014	-2.585554925
2006.5	3.029319714	-0.264518539	5.246666667	2.790245495	-1.826272235	7.51	-3.044285876	2.212071764
2006.75	-2.104921812	-0.451573296	5.246666667	-0.79522889	-6.283151786	7.64	-3.010718151	-2.485171616
2007	3.744986144	-1.004899794	5.256666667	1.985115737	-2.618852828	7.78	-3.475557547	-1.98026273
