"Index","INDPRO","CPIAUCSL","UNRATE","FEDFUNDS","GS10","SP500","DCOILWTICO","UMCSENT"
"1985-01-31",4.00062345251019,4.66060489287619,7.3,8.35,11.38,5.19089920696336,2.94180393152844,96
"1985-02-28",4.00337079988742,4.6662652853479,7.2,8.5,11.51,5.19949097181605,2.94180393152844,93.7
"1985-03-31",4.00488109039464,4.67095792652609,7.2,8.58,11.86,5.19661683199242,2.94180393152844,93.7
"1985-04-30",4.00270248004778,4.67282883446191,7.3,8.27,11.43,5.19201197035925,2.94180393152844,94.6
"1985-05-31",4.00415541418941,4.6746962486367,7.2,7.97,10.85,5.24465285806236,2.94180393152844,91.8
"1985-06-30",4.0036701207598,4.67749084756772,7.4,7.53,10.16,5.25671384850696,2.94180393152844,96.5
"1985-07-31",3.99892704332381,4.67934958416234,7.4,7.88,10.31,5.251854482547,2.94180393152844,94
"1985-08-31",4.00196425281935,4.68120487226409,7.1,7.9,10.33,5.2397874502433,2.94180393152844,92.4
"1985-09-30",4.00534211345487,4.68305672464516,7.1,7.92,10.37,5.20444616099429,2.94180393152844,92.1
"1985-10-31",4.00222744582724,4.68675017298051,7.1,7.99,10.24,5.24607629328742,2.94180393152844,88.4
"1985-11-30",4.00573918822125,4.69134788222914,7,8.05,9.78,5.30910891856923,2.94180393152844,90.9
"1985-12-31",4.01532299966904,4.69592454925656,7,8.27,9.26,5.35318426221122,2.94180393152844,93.9
"1986-01-31",4.02084332904198,4.69957086140958,6.7,8.14,9.19,5.35554799423829,2.94180393152844,95.6
"1986-02-28",4.01379950617052,4.69774936728118,7.2,7.86,8.7,5.4245975243892,2.58248697812686,95.9
"1986-03-31",4.00665113450693,4.69226489283902,7.2,7.48,7.78,5.47604502878335,2.32727770558442,95.1
"1986-04-30",4.00808381253221,4.68859179412716,7.1,6.99,7.3,5.46179585368106,2.59376105470008,96.2
"1986-05-31",4.00955979540426,4.69134788222914,7.2,6.85,7.71,5.51080436234934,2.66025953726586,94.8
"1986-06-30",4.00552245594214,4.69501088998788,7.2,6.92,7.8,5.52481527107544,2.54944517092557,99.3
"1986-07-31",4.01203484237274,4.69592454925656,7,6.56,7.3,5.46434012969312,2.41858876875035,97.7
"1986-08-31",4.01017822517462,4.69683737451392,6.9,6.17,7.17,5.5331127416452,2.76820412392196,94.9
"1986-09-30",4.01272769954978,4.70048036579242,7,5.89,7.45,5.44380206495273,2.68784749378469,91.9
"1986-10-31",4.01698104010137,4.70229689671881,7,5.85,7.43,5.49708623720907,2.72457950305342,95.6
"1986-11-30",4.02097964726632,4.704110133843,6.9,6.04,7.25,5.51833604541282,2.70805020110221,91.4
"1986-12-31",4.03041918640585,4.70772677431318,6.6,6.91,7.11,5.48963995131138,2.88647528761704,89.1
"1987-01-31",4.02692545172344,4.71312732749318,6.6,6.43,7.08,5.61341998558378,2.930126516456,90.4
"1987-02-28",4.0400203634915,4.716711560721,6.6,6.1,7.25,5.64967825861526,2.80032547721138,90.2
"1987-03-31",4.041467558288,4.7202829930886,6.6,6.13,7.25,5.67572591872157,2.93492013415723,90.8
"1987-04-30",4.04777867251914,4.72472942104573,6.3,6.37,8.02,5.66420964873724,2.93172694357808,92.8
"1987-05-31",4.0540814392818,4.72738781871234,6.3,6.85,8.61,5.67022571216671,2.96320908184843,91.1
"1987-06-30",4.05924746858464,4.73180283692146,6.2,6.73,8.4,5.71702770140622,3.00667221359233,91.5
"1987-07-31",4.06604453405861,4.73444252169223,6.1,6.58,8.45,5.76412471515458,3.06479180948549,93.7
"1987-08-31",4.07352261559644,4.73882657080077,6,6.73,8.76,5.79848637311206,2.98365969231972,94.4
"1987-09-30",4.07745438960935,4.74232002413533,5.9,7.22,9.42,5.77402341409595,2.97654945413722,93.6
"1987-10-31",4.09068788471856,4.74493212836325,6,7.29,9.52,5.5285953800983,2.99373027088332,89.3
"1987-11-30",4.09555383076209,4.748404354074,5.8,6.69,8.86,5.43938282007787,2.91885122921803,83.1
"1987-12-31",4.10114637734103,4.75013595623828,5.7,6.77,8.99,5.50971217823848,2.81780106506133,86.8
"1988-01-31",4.10094936905197,4.75359019110636,5.7,6.83,8.67,5.54934844984028,2.83144707924613,90.8
"1988-02-29",4.10594864039261,4.75531284441781,5.7,6.58,8.21,5.59031514041496,2.77133794033813,91.6
"1988-03-31",4.10841346281756,4.75789127300576,5.7,6.58,8.37,5.55640331764151,2.8384934971275,94.6
"1988-04-30",4.1141978418302,4.76388187714291,5.4,6.87,8.72,5.56578392511662,2.89591193827178,91.2
"1988-05-31",4.11217956874701,4.76643833358421,5.6,7.09,9.09,5.56895501835954,2.86448398694404,94.8
"1988-06-30",4.11507649614118,4.77068462446567,5.4,7.51,8.92,5.61130162186204,2.72129542785223,94.7
"1988-07-31",4.11522340757344,4.77491296057519,5.4,7.75,9.06,5.60587555261666,2.79545039138304,93.4
