"Index","INDPRO","CPIAUCSL","UNRATE","FEDFUNDS","GS10","SP500","DCOILWTICO","UMCSENT"
"1985-01-31",54.6322,105.7,7.3,8.35,11.38,179.630004882812,18.95,96
"1985-02-28",54.7825,106.3,7.2,8.5,11.51,181.179992675781,18.95,93.7
"1985-03-31",54.8653,106.8,7.2,8.58,11.86,180.660003662109,18.95,93.7
"1985-04-30",54.7459,107,7.3,8.27,11.43,179.830001831055,18.95,94.6
"1985-05-31",54.8255,107.2,7.2,7.97,10.85,189.550003051758,18.95,91.8
"1985-06-30",54.7989,107.5,7.4,7.53,10.16,191.850006103516,18.95,96.5
"1985-07-31",54.5396,107.7,7.4,7.88,10.31,190.919998168945,18.95,94
"1985-08-31",54.7055,107.9,7.1,7.9,10.33,188.630004882812,18.95,92.4
"1985-09-30",54.8906,108.1,7.1,7.92,10.37,182.080001831055,18.95,92.1
"1985-10-31",54.7199,108.5,7.1,7.99,10.24,189.820007324219,18.95,88.4
"1985-11-30",54.9124,109,7,8.05,9.78,202.169998168945,18.95,90.9
"1985-12-31",55.4412,109.5,7,8.27,9.26,211.279998779297,18.95,93.9
"1986-01-31",55.7481,109.9,6.7,8.14,9.19,211.779998779297,18.95,95.6
"1986-02-28",55.3568,109.7,7.2,7.86,8.7,226.919998168945,13.23,95.9
"1986-03-31",54.9625,109.1,7.2,7.48,7.78,238.899993896484,10.25,95.1
"1986-04-30",55.0413,108.7,7.1,6.99,7.3,235.520004272461,13.38,96.2
"1986-05-31",55.1226,109,7.2,6.85,7.71,247.350006103516,14.3,94.8
"1986-06-30",54.9005,109.4,7.2,6.92,7.8,250.839996337891,12.8,99.3
"1986-07-31",55.2592,109.5,7,6.56,7.3,236.119995117188,11.23,97.7
"1986-08-31",55.1567,109.6,6.9,6.17,7.17,252.929992675781,15.93,94.9
"1986-09-30",55.2975,110,7,5.89,7.45,231.320007324219,14.7,91.9
"1986-10-31",55.5332,110.2,7,5.85,7.43,243.979995727539,15.25,95.6
"1986-11-30",55.7557,110.4,6.9,6.04,7.25,249.220001220703,15,91.4
"1986-12-31",56.2845,110.8,6.6,6.91,7.11,242.169998168945,17.93,89.1
"1987-01-31",56.0882,111.4,6.6,6.43,7.08,274.079986572266,18.73,90.4
"1987-02-28",56.8275,111.8,6.6,6.1,7.25,284.200012207031,16.45,90.2
"1987-03-31",56.9098,112.2,6.6,6.13,7.25,291.700012207031,18.82,90.8
"1987-04-30",57.2701,112.7,6.3,6.37,8.02,288.359985351562,18.76,92.8
"1987-05-31",57.6322,113,6.3,6.85,8.61,290.100006103516,19.36,91.1
"1987-06-30",57.9307,113.5,6.2,6.73,8.4,304,20.22,91.5
"1987-07-31",58.3258,113.8,6.1,6.58,8.45,318.660003662109,21.43,93.7
"1987-08-31",58.7636,114.3,6,6.73,8.76,329.799987792969,19.76,94.4
"1987-09-30",58.9951,114.7,5.9,7.22,9.42,321.829986572266,19.62,93.6
"1987-10-31",59.781,115,6,7.29,9.52,251.789993286133,19.96,89.3
"1987-11-30",60.0726,115.4,5.8,6.69,8.86,230.300003051758,18.52,83.1
"1987-12-31",60.4095,115.6,5.7,6.77,8.99,247.080001831055,16.74,86.8
"1988-01-31",60.3976,116,5.7,6.83,8.67,257.070007324219,16.97,90.8
"1988-02-29",60.7003,116.2,5.7,6.58,8.21,267.820007324219,15.98,91.6
"1988-03-31",60.8501,116.5,5.7,6.58,8.37,258.890014648438,17.09,94.6
"1988-04-30",61.2031,117.2,5.4,6.87,8.72,261.329986572266,18.1,91.2
"1988-05-31",61.0797,117.5,5.6,7.09,9.09,262.160003662109,17.54,94.8
"1988-06-30",61.2569,118,5.4,7.51,8.92,273.5,15.2,94.7
"1988-07-31",61.2659,118.5,5.4,7.75,9.06,272.019989013672,16.37,93.4
"1988-08-31",61.5731,119,5.6,8.01,9.26,261.519989013672,15.19,97.4
"1988-09-30",61.3807,119.5,5.4,8.19,8.98,271.910003662109,13.33,97.3
"1988-10-31",61.6453,119.9,5.4,8.3,8.8,278.970001220703,13.54,94.1
"1988-11-30",61.7944,120.3,5.3,8.35,8.96,273.700012207031,15.42,93
"1988-12-31",62.0743,120.7,5.3,8.76,9.11,277.720001220703,17.12,91.9
"1989-01-31",62.2574,121.2,5.4,9.12,9.09,297.470001220703,17,97.9
"1989-02-28",61.9819,121.6,5.2,9.36,9.17,288.859985351562,18.21,95.4
"1989-03-31",62.1369,122.2,5,9.85,9.36,294.869995117188,20.27,94.3
"1989-04-30",62.1276,123.1,5.2,9.84,9.18,309.640014648438,20.38,91.5
"1989-05-31",61.7744,123.7,5.2,9.81,8.86,320.519989013672,19.93,90.7
"1989-06-30",61.7697,124.1,5.3,9.53,8.28,317.980010986328,20.29,90.6
"1989-07-31",61.1738,124.5,5.2,9.24,8.02,346.079986572266,18.33,92
"1989-08-31",61.7732,124.5,5.2,8.99,8.11,351.450012207031,18.83,89.6
"1989-09-30",61.5796,124.8,5.3,9.02,8.19,349.149993896484,20.15,95.8
"1989-10-31",61.4966,125.4,5.3,8.84,8.01,340.359985351562,19.88,93.9
"1989-11-30",61.7044,125.9,5.4,8.55,7.87,345.989990234375,19.87,90.9
"1989-12-31",62.0428,126.3,5.4,8.45,7.84,353.399993896484,21.84,90.5
"1990-01-31",61.729,127.5,5.4,8.23,8.21,329.079986572266,22.69,93
"1990-02-28",62.2896,128,5.3,8.24,8.47,331.890014648438,21.55,89.5
"1990-03-31",62.5999,128.6,5.2,8.28,8.59,339.940002441406,20.34,91.3
"1990-04-30",62.4359,128.9,5.4,8.26,8.79,330.799987792969,18.5,93.9
"1990-05-31",62.6258,129.1,5.4,8.18,8.76,361.230010986328,17.47,90.6
"1990-06-30",62.8382,129.9,5.2,8.29,8.48,358.019989013672,17.05,88.3
"1990-07-31",62.7284,130.5,5.5,8.15,8.47,356.149993896484,20.57,88.2
"1990-08-31",62.9475,131.6,5.7,8.13,8.75,322.559997558594,27.45,76.4
"1990-09-30",62.9523,132.5,5.9,8.2,8.89,306.049987792969,39.53,72.8
"1990-10-31",62.5845,133.4,5.9,8.11,8.72,304,35.31,63.9
"1990-11-30",61.7887,133.7,6.2,7.81,8.39,322.220001220703,29.08,66
"1990-12-31",61.3352,134.2,6.3,7.31,8.08,330.220001220703,28.48,65.5
"1991-01-31",61.1355,134.7,6.4,6.91,8.09,343.929992675781,21.9,66.8
"1991-02-28",60.6838,134.8,6.6,6.25,7.85,367.070007324219,19.28,70.4
"1991-03-31",60.3346,134.8,6.8,6.12,8.11,375.220001220703,19.63,87.7
"1991-04-30",60.4938,135.1,6.7,5.91,8.04,375.339996337891,20.99,81.8
"1991-05-31",61.0633,135.6,6.9,5.78,8.07,389.829986572266,21.16,78.3
"1991-06-30",61.5581,136,6.9,5.9,8.28,371.160003662109,20.56,82.1
"1991-07-31",61.7305,136.2,6.8,5.82,8.27,387.809997558594,21.7,82.9
"1991-08-31",61.7298,136.6,6.9,5.66,7.9,395.429992675781,22.28,82
"1991-09-30",62.2195,137,6.9,5.45,7.65,387.859985351562,22.25,83
"1991-10-31",62.1855,137.2,7,5.21,7.53,392.450012207031,23.29,78.3
"1991-11-30",62.0871,137.8,7,4.81,7.42,375.220001220703,21.48,69.1
"1991-12-31",61.7852,138.2,7.3,4.43,7.09,417.089996337891,19.15,68.2
"1992-01-31",61.4616,138.3,7.3,4.03,7.03,408.779998779297,18.93,67.5
"1992-02-29",61.8955,138.6,7.4,4.06,7.34,412.700012207031,18.69,68.8
"1992-03-31",62.4232,139.1,7.4,3.98,7.54,403.690002441406,19.49,76
"1992-04-30",62.897,139.4,7.4,3.73,7.48,414.950012207031,20.88,77.2
"1992-05-31",63.104,139.7,7.6,3.82,7.39,415.350006103516,22.13,79.2
"1992-06-30",63.1363,140.1,7.8,3.76,7.26,408.140014648438,21.84,80.4
"1992-07-31",63.7176,140.5,7.7,3.25,6.84,424.209991455078,21.83,76.6
"1992-08-31",63.3613,140.8,7.6,3.3,6.59,414.029998779297,21.46,76.1
"1992-09-30",63.5703,141.1,7.6,3.22,6.42,417.799987792969,21.83,75.6
"1992-10-31",63.9995,141.7,7.3,3.1,6.59,418.679992675781,20.68,73.3
"1992-11-30",64.2422,142.1,7.4,3.09,6.87,431.350006103516,19.91,85.3
"1992-12-31",64.3507,142.3,7.4,2.92,6.77,435.709991455078,19.49,91
"1993-01-31",64.5978,142.8,7.3,3.02,6.6,438.779998779297,20.27,89.3
"1993-02-28",64.9089,143.1,7.1,3.03,6.26,443.380004882812,20.53,86.6
"1993-03-31",64.8522,143.3,7,3.07,5.98,451.670013427734,20.44,85.9
"1993-04-30",65.0301,143.8,7.1,2.96,5.97,440.190002441406,20.54,85.6
"1993-05-31",64.784,144.2,7.1,3,6.04,450.190002441406,20.04,80.3
"1993-06-30",64.9301,144.3,7,3.04,5.96,450.529998779297,18.82,81.5
"1993-07-31",65.1052,144.5,6.9,3.06,5.81,448.130004882812,17.94,77
"1993-08-31",65.0267,144.8,6.8,3.03,5.68,463.559997558594,18.24,77.3
"1993-09-30",65.3717,145,6.7,3.09,5.36,458.929992675781,18.72,77.9
"1993-10-31",65.8509,145.6,6.8,2.99,5.33,467.829986572266,16.97,82.7
"1993-11-30",66.1518,146,6.6,3.02,5.72,461.790008544922,15.36,81.2
"1993-12-31",66.5436,146.3,6.5,2.96,5.77,466.450012207031,14.19,88.2
"1994-01-31",66.7351,146.3,6.6,3.05,5.75,481.609985351562,15.24,94.3
"1994-02-28",66.774,146.7,6.6,3.25,5.97,467.140014648438,14.5,93.2
"1994-03-31",67.4552,147.1,6.5,3.34,6.48,445.769989013672,14.78,91.5
"1994-04-30",67.8541,147.2,6.4,3.56,6.97,450.910003662109,16.92,92.6
"1994-05-31",68.1663,147.5,6.1,4.01,7.18,456.5,18.3,92.8
"1994-06-30",68.6265,147.9,6.1,4.25,7.1,444.269989013672,19.37,91.2
"1994-07-31",68.7178,148.4,6.1,4.26,7.3,458.260009765625,20.3,89
"1994-08-31",69.1785,149,6,4.47,7.24,475.489990234375,17.6,91.7
"1994-09-30",69.3961,149.3,5.9,4.73,7.46,462.709991455078,18.36,91.5
"1994-10-31",69.9544,149.4,5.8,4.76,7.74,472.350006103516,18.16,92.7
"1994-11-30",70.4326,149.8,5.6,5.29,7.96,453.690002441406,18.06,91.6
"1994-12-31",71.1523,150.1,5.5,5.45,7.81,459.269989013672,17.77,95.1
"1995-01-31",71.2734,150.5,5.6,5.53,7.78,470.420013427734,18.48,97.6
"1995-02-28",71.193,150.9,5.4,5.92,7.47,487.390014648438,18.52,95.1
"1995-03-31",71.3113,151.2,5.4,5.98,7.2,500.709991455078,19.18,90.3
"1995-04-30",71.1882,151.8,5.8,6.05,7.06,514.710021972656,20.36,92.5
"1995-05-31",71.5378,152.1,5.6,6.01,6.63,533.400024414062,18.88,89.8
"1995-06-30",71.7749,152.4,5.6,6,6.17,544.75,17.38,92.7
"1995-07-31",71.4748,152.6,5.7,5.85,6.28,562.059997558594,17.62,94.4
"1995-08-31",72.4223,152.9,5.7,5.74,6.49,561.880004882812,17.89,96.2
"1995-09-30",72.7144,153.1,5.6,5.8,6.2,584.409973144531,17.54,88.9
"1995-10-31",72.5866,153.5,5.5,5.76,6.04,581.5,17.67,90.2
"1995-11-30",72.7779,153.7,5.6,5.8,5.93,605.369995117188,18.27,88.2
"1995-12-31",73.0305,153.9,5.6,5.6,5.71,615.929992675781,19.54,91
"1996-01-31",72.6125,154.7,5.6,5.56,5.65,636.02001953125,17.76,89.3
"1996-02-29",73.6752,155,5.5,5.22,5.81,640.429992675781,19.59,88.5
"1996-03-31",73.585,155.5,5.5,5.31,6.27,645.5,21.43,93.7
"1996-04-30",74.3172,156.1,5.6,5.22,6.51,654.169982910156,20.95,92.7
"1996-05-31",74.8726,156.4,5.6,5.24,6.74,669.119995117188,19.77,89.4
"1996-06-30",75.4433,156.7,5.3,5.27,6.91,670.630004882812,20.92,92.4
"1996-07-31",75.4549,157,5.5,5.4,6.87,639.950012207031,20.46,94.7
"1996-08-31",75.8411,157.2,5.1,5.22,6.64,651.989990234375,22.25,95.3
"1996-09-30",76.3158,157.7,5.2,5.3,6.83,687.330017089844,24.2,94.7
