"variable","horizon","beta","se","ci_lower","ci_upper","p_value","significant","n_obs"
"CPI","h=1",2.26084498873517,1.19423515943666,-0.0798559237606837,4.60154590123102,0.0596960169395292,FALSE,215
"CPI","h=3",0.691692683910512,0.798655665273915,-0.873672420026361,2.25705778784739,0.387425594950781,FALSE,215
"CPI","h=12",-0.517794888698289,0.32131845461715,-1.1475790597479,0.111989282351325,0.108558217365366,FALSE,215
"INDPRO","h=1",0.718386854334534,0.561184881618738,-0.381535513638193,1.81830922230726,0.2018935329709,FALSE,215
"INDPRO","h=3",0.892286520199241,0.481598950810134,-0.0516474233886216,1.8362204637871,0.065300342970186,FALSE,215
"INDPRO","h=12",0.144870250858152,0.442278657900128,-0.721995918626099,1.0117364203424,0.743570437021365,FALSE,215
"CPI","h=1",0.70864908291727,0.284012834882201,0.151983926548156,1.26531423928638,0.0133504064010353,TRUE,215
"CPI","h=3",0.560170050227184,0.320375824561481,-0.0677665659133188,1.18810666636769,0.081821973252382,FALSE,215
"CPI","h=12",-0.0841028507539615,0.206506732907916,-0.488856047253477,0.320650345745554,0.684222762543231,FALSE,215
"INDPRO","h=1",0.266280197314899,0.491622980971115,-0.697300845388486,1.22986124001828,0.58863610176674,FALSE,215
"INDPRO","h=3",0.598320098167539,0.363740858381129,-0.114611984259474,1.31125218059455,0.101463827143933,FALSE,215
"INDPRO","h=12",0.31840265491351,0.529161887128993,-0.718754643859316,1.35555995368634,0.548006270795927,FALSE,215
"CPI","h=1",0.925743747867762,0.318777927349524,0.300939010262695,1.55054848547283,0.00407196465403017,TRUE,215
"CPI","h=3",0.689387385062282,0.372884671116124,-0.041466570325321,1.42024134044989,0.0658733041720585,FALSE,215
"CPI","h=12",-0.0272482943659494,0.211108363740632,-0.441020687297588,0.386524098565689,0.897422039965118,FALSE,215
"INDPRO","h=1",0.107764407625882,0.34651015991872,-0.571395505814809,0.786924321066573,0.756105317185319,FALSE,215
"INDPRO","h=3",0.188913265838585,0.363039003478626,-0.522643180979522,0.900469712656692,0.603348741803291,FALSE,215
"INDPRO","h=12",0.223730392112703,0.492482356964005,-0.741535027536747,1.18899581176215,0.650081855575178,FALSE,215
