"model","origin_date","origin_idx","lambda","alpha","psi","soc","sur","log_ml"
"small","2001-01-31",193,0.201067937110728,NA,NA,0.704937753235842,0.72402690129719,1546.52650778803
"small","2001-02-28",194,0.234516339348322,NA,NA,0.58776742745452,0.702583887321373,1554.15752804557
"small","2001-03-31",195,0.222979161834646,NA,NA,0.584930114777774,0.744770174688646,1564.08981784477
"small","2001-04-30",196,0.225664890761512,NA,NA,0.554407039847647,0.700534741456936,1574.5452345511
"small","2001-05-31",197,0.233935566270993,NA,NA,0.569266817516845,0.836527620324931,1580.99349871333
"small","2001-06-30",198,0.23739902365678,NA,NA,0.540733950733533,0.653837818480024,1584.1501962739
"small","2001-07-31",199,0.237870165188439,NA,NA,0.572348420036419,0.751729602383015,1597.23278130011
"small","2001-08-31",200,0.230455081242306,NA,NA,0.546202068449403,0.763095738492466,1606.91142473267
"small","2001-09-30",201,0.249710262537887,NA,NA,0.541095586685555,0.737772220147354,1614.97491752329
"small","2001-10-31",202,0.235313471005144,NA,NA,0.533351528163456,0.70203485183625,1619.28005113561
"small","2001-11-30",203,0.23170441882101,NA,NA,0.568991899875944,0.732544255560872,1627.44622254981
"small","2001-12-31",204,0.239331579706973,NA,NA,0.557676395881797,0.785133584187785,1641.257210224
"small","2002-01-31",205,0.236929434788078,NA,NA,0.549553194680401,0.641314777094494,1649.89759702892
"small","2002-02-28",206,0.240966742745008,NA,NA,0.636375476112706,0.860610104717399,1659.31439755372
"small","2002-03-31",207,0.23216281319703,NA,NA,0.582038645214074,0.719813814650226,1668.23854616587
"small","2002-04-30",208,0.225743219444782,NA,NA,0.57291013353072,0.729633794843125,1678.23887783075
"small","2002-05-31",209,0.222281494442506,NA,NA,0.563314924212464,0.731741077016849,1689.11246880635
"small","2002-06-30",210,0.233524931663439,NA,NA,0.647258862623806,0.848577936517351,1697.78764219681
"small","2002-07-31",211,0.248595382941593,NA,NA,0.621062681176618,0.735568844993344,1710.69195239437
"small","2002-08-31",212,0.227439369695377,NA,NA,0.580618604923519,0.743931504082776,1719.72972633279
"small","2002-09-30",213,0.233200162770766,NA,NA,0.571519138392883,0.734237232165897,1729.38839106241
"small","2002-10-31",214,0.230099593344841,NA,NA,0.645951504672958,0.755589561222551,1741.89641999862
"small","2002-11-30",215,0.24861847780918,NA,NA,0.540833939928762,0.752527935877607,1747.84852115531
"small","2002-12-31",216,0.238512403585236,NA,NA,0.620976896983508,0.785387650383241,1757.4928557752
"small","2003-01-31",217,0.239461986067657,NA,NA,0.572434555780784,0.791484221539547,1767.40163440208
"small","2003-02-28",218,0.242463815627366,NA,NA,0.496002117477162,0.783802837008136,1775.80035828706
"small","2003-03-31",219,0.238806038740846,NA,NA,0.504934069724312,0.883129756677301,1786.26949881464
"small","2003-04-30",220,0.24471144766648,NA,NA,0.578985335282589,0.74094770313304,1791.07681082652
"small","2003-05-31",221,0.232776518910944,NA,NA,0.523807164900094,0.724293852869147,1800.49810363276
"small","2003-06-30",222,0.234917709467804,NA,NA,0.532799283667911,0.75807847862664,1811.15342999245
"small","2003-07-31",223,0.240578894112352,NA,NA,0.499076295741073,0.727470888979677,1817.60881261376
"small","2003-08-31",224,0.241449414268506,NA,NA,0.513276959706722,0.700482544636636,1830.06261027437
"small","2003-09-30",225,0.249507949109494,NA,NA,0.518088460810347,0.708572588501196,1840.86865677242
"small","2003-10-31",226,0.247171084845552,NA,NA,0.542309209697775,0.779435328891075,1851.1953612042
"small","2003-11-30",227,0.237333269367587,NA,NA,0.525263336969579,0.670557619814061,1861.26132835655
"small","2003-12-31",228,0.238397316459395,NA,NA,0.549151099174199,0.76062862234882,1870.26828294154
"small","2004-01-31",229,0.239057571840981,NA,NA,0.474891461049854,0.761771940510143,1879.5976079789
