"window_start","window_end","rmsfe_h1","rmsfe_h3","rmsfe_h12","variable"
2001-01-31,2003-12-31,652508643296564,3.89716858331521e+26,6.68610969771766e+105,"CPI"
2001-02-28,2004-01-31,633185780421724,3.62837388770081e+26,5.4009790472071e+105,"CPI"
2001-03-31,2004-02-29,642495842084106,3.61970606489979e+26,5.39897707151631e+105,"CPI"
2001-04-30,2004-03-31,575915424609527,3.59290774794123e+26,5.37558133192254e+105,"CPI"
2001-05-31,2004-04-30,576515322591314,3.59560178327519e+26,5.37564244661521e+105,"CPI"
2001-06-30,2004-05-31,588749793889278,3.37933960998031e+26,4.38439431442528e+105,"CPI"
2001-07-31,2004-06-30,588697824959096,3.3815599221591e+26,4.38344756967773e+105,"CPI"
2001-08-31,2004-07-31,590361926521985,3.10385067081882e+26,3.27739167889283e+105,"CPI"
2001-09-30,2004-08-31,611733982533670,2.97317713372977e+26,3.00805658616195e+105,"CPI"
2001-10-31,2004-09-30,630634277823020,2.96759432858965e+26,3.0075478974251e+105,"CPI"
2001-11-30,2004-10-31,638169203973975,2.75146989476933e+26,2.67745147321117e+105,"CPI"
2001-12-31,2004-11-30,645596983153140,2.66921892173159e+26,2.59053194722116e+105,"CPI"
2002-01-31,2004-12-31,693129652890497,2.7231290780496e+26,2.59995797943186e+105,"CPI"
2002-02-28,2005-01-31,705970517993802,2.80947437605631e+26,2.62502715529841e+105,"CPI"
2002-03-31,2005-02-28,711651798043907,2.80868470354799e+26,2.62483707467481e+105,"CPI"
2002-04-30,2005-03-31,726341353868566,2.80544198831662e+26,2.62441779499884e+105,"CPI"
2002-05-31,2005-04-30,726384871269987,2.76808541120358e+26,2.60865194323347e+105,"CPI"
2002-06-30,2005-05-31,717071203650049,2.79549889595351e+26,2.60910461538778e+105,"CPI"
2002-07-31,2005-06-30,706744753768941,2.78362066017466e+26,2.59146991820256e+105,"CPI"
2002-08-31,2005-07-31,702590734248156,2.82941273884523e+26,2.59541419306608e+105,"CPI"
2002-09-30,2005-08-31,699645340607101,2.87007451373164e+26,2.60082805449656e+105,"CPI"
2002-10-31,2005-09-30,695392702410968,3.52513699692194e+26,2.78402709671941e+105,"CPI"
2002-11-30,2005-10-31,678639776173342,3.52530061687044e+26,2.78402581591919e+105,"CPI"
2002-12-31,2005-11-30,685799081653238,3.71527489907925e+26,2.79823199098314e+105,"CPI"
2003-01-31,2005-12-31,665204062041875,3.74375113675751e+26,2.79862839408391e+105,"CPI"
2003-02-28,2006-01-31,662823668354408,3.6989918168478e+26,2.73645606289329e+105,"CPI"
2003-03-31,2006-02-28,664235212398977,3.63591481219544e+26,2.59274534175151e+105,"CPI"
2003-04-30,2006-03-31,664784690663784,3.63922849027801e+26,2.59274732092646e+105,"CPI"
