"scenario","model","variable","horizon","target_date","rel_rmsfe"
"window1995","Full","CPI",1,1996-02-29,NA
"window1995","Full","CPI",1,1996-03-31,NA
"window1995","Full","CPI",1,1996-04-30,NA
"window1995","Full","CPI",1,1996-05-31,NA
"window1995","Full","CPI",1,1996-06-30,NA
"window1995","Full","CPI",1,1996-07-31,NA
"window1995","Full","CPI",1,1996-08-31,NA
"window1995","Full","CPI",1,1996-09-30,NA
"window1995","Full","CPI",1,1996-10-31,NA
"window1995","Full","CPI",1,1996-11-30,NA
"window1995","Full","CPI",1,1996-12-31,NA
"window1995","Full","CPI",1,1997-01-31,NA
"window1995","Full","CPI",1,1997-02-28,NA
"window1995","Full","CPI",1,1997-03-31,NA
"window1995","Full","CPI",1,1997-04-30,NA
"window1995","Full","CPI",1,1997-05-31,NA
"window1995","Full","CPI",1,1997-06-30,NA
"window1995","Full","CPI",1,1997-07-31,NA
"window1995","Full","CPI",1,1997-08-31,NA
"window1995","Full","CPI",1,1997-09-30,NA
"window1995","Full","CPI",1,1997-10-31,NA
"window1995","Full","CPI",1,1997-11-30,NA
"window1995","Full","CPI",1,1997-12-31,NA
"window1995","Full","CPI",1,1998-01-31,NA
"window1995","Full","CPI",1,1998-02-28,NA
"window1995","Full","CPI",1,1998-03-31,NA
"window1995","Full","CPI",1,1998-04-30,NA
"window1995","Full","CPI",1,1998-05-31,NA
"window1995","Full","CPI",1,1998-06-30,NA
"window1995","Full","CPI",1,1998-07-31,NA
"window1995","Full","CPI",1,1998-08-31,NA
"window1995","Full","CPI",1,1998-09-30,NA
"window1995","Full","CPI",1,1998-10-31,NA
"window1995","Full","CPI",1,1998-11-30,NA
"window1995","Full","CPI",1,1998-12-31,NA
"window1995","Full","CPI",1,1999-01-31,NA
"window1995","Full","CPI",1,1999-02-28,NA
"window1995","Full","CPI",1,1999-03-31,NA
"window1995","Full","CPI",1,1999-04-30,NA
"window1995","Full","CPI",1,1999-05-31,NA
"window1995","Full","CPI",1,1999-06-30,NA
"window1995","Full","CPI",1,1999-07-31,NA
"window1995","Full","CPI",1,1999-08-31,NA
"window1995","Full","CPI",1,1999-09-30,NA
"window1995","Full","CPI",1,1999-10-31,NA
"window1995","Full","CPI",1,1999-11-30,NA
"window1995","Full","CPI",1,1999-12-31,NA
"window1995","Full","CPI",1,2000-01-31,NA
"window1995","Full","CPI",1,2000-02-29,NA
"window1995","Full","CPI",1,2000-03-31,NA
"window1995","Full","CPI",1,2000-04-30,NA
"window1995","Full","CPI",1,2000-05-31,NA
"window1995","Full","CPI",1,2000-06-30,NA
"window1995","Full","CPI",1,2000-07-31,NA
"window1995","Full","CPI",1,2000-08-31,NA
"window1995","Full","CPI",1,2000-09-30,NA
"window1995","Full","CPI",1,2000-10-31,NA
"window1995","Full","CPI",1,2000-11-30,NA
"window1995","Full","CPI",1,2000-12-31,NA
"window1995","Full","CPI",1,2001-01-31,0.902412349013683
"window1995","Full","CPI",1,2001-02-28,0.9039898966858
"window1995","Full","CPI",1,2001-03-31,0.909935548939437
"window1995","Full","CPI",1,2001-04-30,0.910599631862935
"window1995","Full","CPI",1,2001-05-31,0.909762781071889
"window1995","Full","CPI",1,2001-06-30,0.901217415353509
"window1995","Full","CPI",1,2001-07-31,0.905125112807673
"window1995","Full","CPI",1,2001-08-31,0.910864955799818
"window1995","Full","CPI",1,2001-09-30,0.911053988692898
"window1995","Full","CPI",1,2001-10-31,0.909282967298694
"window1995","Full","CPI",1,2001-11-30,0.914204893393927
"window1995","Full","CPI",1,2001-12-31,0.914795384136005
"window1995","Full","CPI",1,2002-01-31,0.913671661908543
"window1995","Full","CPI",1,2002-02-28,0.91163336362739
"window1995","Full","CPI",1,2002-03-31,0.910200899885382
"window1995","Full","CPI",1,2002-04-30,0.910367327595346
"window1995","Full","CPI",1,2002-05-31,0.895468155807391
"window1995","Full","CPI",1,2002-06-30,0.893720515281897
"window1995","Full","CPI",1,2002-07-31,0.892620022840953
"window1995","Full","CPI",1,2002-08-31,0.894217820809811
"window1995","Full","CPI",1,2002-09-30,0.892675445946136
"window1995","Full","CPI",1,2002-10-31,0.893359448807426
"window1995","Full","CPI",1,2002-11-30,0.891366058152139
"window1995","Full","CPI",1,2002-12-31,0.888346724975517
"window1995","Full","CPI",1,2003-01-31,0.89254093960159
"window1995","Full","CPI",1,2003-02-28,0.903832488060482
"window1995","Full","CPI",1,2003-03-31,0.895603776607883
"window1995","Full","CPI",1,2003-04-30,0.904713904365348
"window1995","Full","CPI",1,2003-05-31,0.915301207168153
"window1995","Full","CPI",1,2003-06-30,0.916757894699178
"window1995","Full","CPI",1,2003-07-31,0.919464123637477
"window1995","Full","CPI",1,2003-08-31,0.931132068609718
"window1995","Full","CPI",1,2003-09-30,0.932209847210857
"window1995","Full","CPI",1,2003-10-31,0.925677030264223
"window1995","Full","CPI",1,2003-11-30,0.928413664168939
"window1995","Full","CPI",1,2003-12-31,0.928646662760844
"window1995","Full","CPI",1,2004-01-31,0.931510565071436
"window1995","Full","CPI",1,2004-02-29,0.932501747647434
"window1995","Full","CPI",1,2004-03-31,0.931370806360695
"window1995","Full","CPI",1,2004-04-30,0.935272048309253
"window1995","Full","CPI",1,2004-05-31,0.955434876054315
"window1995","Full","CPI",1,2004-06-30,0.952747088765639
"window1995","Full","CPI",1,2004-07-31,0.955223167492348
"window1995","Full","CPI",1,2004-08-31,0.960578107385032
"window1995","Full","CPI",1,2004-09-30,0.95885597408703
"window1995","Full","CPI",1,2004-10-31,0.965236279905592
"window1995","Full","CPI",1,2004-11-30,0.970173010261982
"window1995","Full","CPI",1,2004-12-31,0.961629899764996
"window1995","Full","CPI",1,2005-01-31,0.965590340418929
"window1995","Full","CPI",1,2005-02-28,0.955653721751226
"window1995","Full","CPI",1,2005-03-31,0.950213998593543
"window1995","Full","CPI",1,2005-04-30,0.965567673308753
"window1995","Full","CPI",1,2005-05-31,0.964429908224049
"window1995","Full","CPI",1,2005-06-30,0.972765641785791
"window1995","Full","CPI",1,2005-07-31,0.974198734277218
"window1995","Full","CPI",1,2005-08-31,0.985306885907321
"window1995","Full","CPI",1,2005-09-30,1.0051960489768
