"scenario","model","variable","horizon","target_date","rel_rmsfe"
"window1995","Full","CPI",1,1996-02-29,NA
"window1995","Full","CPI",1,1996-03-31,NA
"window1995","Full","CPI",1,1996-04-30,NA
"window1995","Full","CPI",1,1996-05-31,NA
"window1995","Full","CPI",1,1996-06-30,NA
"window1995","Full","CPI",1,1996-07-31,NA
"window1995","Full","CPI",1,1996-08-31,NA
"window1995","Full","CPI",1,1996-09-30,NA
"window1995","Full","CPI",1,1996-10-31,NA
"window1995","Full","CPI",1,1996-11-30,NA
"window1995","Full","CPI",1,1996-12-31,NA
"window1995","Full","CPI",1,1997-01-31,NA
"window1995","Full","CPI",1,1997-02-28,NA
"window1995","Full","CPI",1,1997-03-31,NA
"window1995","Full","CPI",1,1997-04-30,NA
"window1995","Full","CPI",1,1997-05-31,NA
"window1995","Full","CPI",1,1997-06-30,NA
"window1995","Full","CPI",1,1997-07-31,NA
"window1995","Full","CPI",1,1997-08-31,NA
"window1995","Full","CPI",1,1997-09-30,NA
"window1995","Full","CPI",1,1997-10-31,NA
"window1995","Full","CPI",1,1997-11-30,NA
"window1995","Full","CPI",1,1997-12-31,NA
"window1995","Full","CPI",1,1998-01-31,NA
"window1995","Full","CPI",1,1998-02-28,NA
"window1995","Full","CPI",1,1998-03-31,NA
"window1995","Full","CPI",1,1998-04-30,NA
"window1995","Full","CPI",1,1998-05-31,NA
"window1995","Full","CPI",1,1998-06-30,NA
"window1995","Full","CPI",1,1998-07-31,NA
"window1995","Full","CPI",1,1998-08-31,NA
"window1995","Full","CPI",1,1998-09-30,NA
"window1995","Full","CPI",1,1998-10-31,NA
"window1995","Full","CPI",1,1998-11-30,NA
"window1995","Full","CPI",1,1998-12-31,NA
"window1995","Full","CPI",1,1999-01-31,NA
"window1995","Full","CPI",1,1999-02-28,NA
"window1995","Full","CPI",1,1999-03-31,NA
"window1995","Full","CPI",1,1999-04-30,NA
"window1995","Full","CPI",1,1999-05-31,NA
"window1995","Full","CPI",1,1999-06-30,NA
"window1995","Full","CPI",1,1999-07-31,NA
"window1995","Full","CPI",1,1999-08-31,NA
"window1995","Full","CPI",1,1999-09-30,NA
"window1995","Full","CPI",1,1999-10-31,NA
"window1995","Full","CPI",1,1999-11-30,NA
"window1995","Full","CPI",1,1999-12-31,NA
"window1995","Full","CPI",1,2000-01-31,NA
"window1995","Full","CPI",1,2000-02-29,NA
"window1995","Full","CPI",1,2000-03-31,NA
"window1995","Full","CPI",1,2000-04-30,NA
"window1995","Full","CPI",1,2000-05-31,NA
"window1995","Full","CPI",1,2000-06-30,NA
"window1995","Full","CPI",1,2000-07-31,NA
"window1995","Full","CPI",1,2000-08-31,NA
"window1995","Full","CPI",1,2000-09-30,NA
"window1995","Full","CPI",1,2000-10-31,NA
"window1995","Full","CPI",1,2000-11-30,NA
"window1995","Full","CPI",1,2000-12-31,NA
"window1995","Full","CPI",1,2001-01-31,0.595936771671367
"window1995","Full","CPI",1,2001-02-28,0.593228032200665
"window1995","Full","CPI",1,2001-03-31,0.609810913025956
"window1995","Full","CPI",1,2001-04-30,0.618306629248353
"window1995","Full","CPI",1,2001-05-31,0.610736015734925
"window1995","Full","CPI",1,2001-06-30,0.606057748740478
"window1995","Full","CPI",1,2001-07-31,0.636421798948436
"window1995","Full","CPI",1,2001-08-31,0.641365007428606
"window1995","Full","CPI",1,2001-09-30,0.643770479931729
"window1995","Full","CPI",1,2001-10-31,0.695107033090578
"window1995","Full","CPI",1,2001-11-30,0.709417573797576
"window1995","Full","CPI",1,2001-12-31,0.72074639213501
"window1995","Full","CPI",1,2002-01-31,0.719595970691558
"window1995","Full","CPI",1,2002-02-28,0.718605365564731
"window1995","Full","CPI",1,2002-03-31,0.706763938420473
"window1995","Full","CPI",1,2002-04-30,0.693144491332408
"window1995","Full","CPI",1,2002-05-31,0.682376712338118
"window1995","Full","CPI",1,2002-06-30,0.686415897969274
"window1995","Full","CPI",1,2002-07-31,0.681353791209702
"window1995","Full","CPI",1,2002-08-31,0.681340513579179
"window1995","Full","CPI",1,2002-09-30,0.684078858408088
"window1995","Full","CPI",1,2002-10-31,0.682632743349093
"window1995","Full","CPI",1,2002-11-30,0.67924553094935
"window1995","Full","CPI",1,2002-12-31,0.672707942604965
"window1995","Full","CPI",1,2003-01-31,0.668391639232796
"window1995","Full","CPI",1,2003-02-28,0.656832412981372
"window1995","Full","CPI",1,2003-03-31,0.651284061299224
"window1995","Full","CPI",1,2003-04-30,0.693783920793561
"window1995","Full","CPI",1,2003-05-31,0.708256227841504
"window1995","Full","CPI",1,2003-06-30,0.707435472394347
"window1995","Full","CPI",1,2003-07-31,0.707976661164281
"window1995","Full","CPI",1,2003-08-31,0.705534219154745
"window1995","Full","CPI",1,2003-09-30,0.697263409463029
"window1995","Full","CPI",1,2003-10-31,0.712277015719707
"window1995","Full","CPI",1,2003-11-30,0.713584917820866
"window1995","Full","CPI",1,2003-12-31,0.712074282447866
"window1995","Full","CPI",1,2004-01-31,0.707389576403883
"window1995","Full","CPI",1,2004-02-29,0.700548118383903
"window1995","Full","CPI",1,2004-03-31,0.696404105476921
"window1995","Full","CPI",1,2004-04-30,0.6978330919877
"window1995","Full","CPI",1,2004-05-31,0.687176529909438
"window1995","Full","CPI",1,2004-06-30,0.673031827184227
"window1995","Full","CPI",1,2004-07-31,0.680254975000573
"window1995","Full","CPI",1,2004-08-31,0.689294972236997
"window1995","Full","CPI",1,2004-09-30,0.692070199601064
"window1995","Full","CPI",1,2004-10-31,0.685791881237866
"window1995","Full","CPI",1,2004-11-30,0.678875099839451
"window1995","Full","CPI",1,2004-12-31,0.689970478454645
"window1995","Full","CPI",1,2005-01-31,0.703519947234738
"window1995","Full","CPI",1,2005-02-28,0.703250798331095
"window1995","Full","CPI",1,2005-03-31,0.705468859611705
"window1995","Full","CPI",1,2005-04-30,0.683496946324967
"window1995","Full","CPI",1,2005-05-31,0.697678638248476
"window1995","Full","CPI",1,2005-06-30,0.711609117920715
"window1995","Full","CPI",1,2005-07-31,0.715858353858317
"window1995","Full","CPI",1,2005-08-31,0.696676411938501
"window1995","Full","CPI",1,2005-09-30,0.715032276055896
