"model_a","model_b","variable","horizon","statistic","p_value"
"Small","Medium","CPI","h=1",0.257650808209454,0.796910862585313
"Small","Medium","CPI","h=3",-0.275579631361361,0.783125006244454
"Small","Medium","CPI","h=12",-1.64602169545506,0.10122029810087
"Small","Medium","INDPRO","h=1",2.1570235933913,0.0320589168746461
"Small","Medium","INDPRO","h=3",1.44537638382307,0.149749736074145
"Small","Medium","INDPRO","h=12",1.2137461476156,0.226176308529491
"Small","Full","CPI","h=1",-0.336798851379935,0.736581082719256
"Small","Full","CPI","h=3",0.282712493954488,0.777658307753732
"Small","Full","CPI","h=12",0.516850948900956,0.605791466540714
"Small","Full","INDPRO","h=1",0.362924331036525,0.717000609855006
"Small","Full","INDPRO","h=3",0.45171985743193,0.651907878144093
"Small","Full","INDPRO","h=12",0.928461294104521,0.354209515414118
"Medium","Full","CPI","h=1",-0.548292415074854,0.584032317173706
"Medium","Full","CPI","h=3",0.471427177879121,0.637794541033783
"Medium","Full","CPI","h=12",0.950201686240275,0.343076680485273
"Medium","Full","INDPRO","h=1",-1.13347073773911,0.258217580888342
"Medium","Full","INDPRO","h=3",-0.421286585937333,0.67394978792265
"Medium","Full","INDPRO","h=12",0.551775835184832,0.581674995388822
