"scenario","model","variable","horizon","n","mse","rmse","bias","bias_prop","var_prop","covar_prop","corr","sd_forecast","sd_actual"
"baseline","Full","CPI",1,227,12.5460210271505,3.54203628258527,-0.148313061589269,0.00175328609687324,0.613228552109882,0.389435182651224,0.0549249526862668,0.736411097345853,3.51014113273495
"baseline","Full","CPI",3,225,7.12957736200423,2.67012684380428,-0.172629185524716,0.00417988811703549,0.530428110251061,0.469837627131381,-0.0693416756928399,0.61249996879561,2.55716658470093
"baseline","Full","CPI",12,216,1.721960076087,1.31223476409025,-0.222964619366825,0.028870135945522,0.318946634901341,0.656700112241763,0.0538522384972822,0.486712849720414,1.22780216397505
"baseline","Full","INDPRO",1,227,56.7607329147138,7.53397192155066,-1.48799448855491,0.0390080868282066,0.453770144388546,0.511473945390202,0.383139315893824,2.93702866617843,8.01209772682277
"baseline","Full","INDPRO",3,225,27.507841604825,5.24479185524316,-1.59946295379171,0.0930019075034718,0.331063075253402,0.579984115870343,0.467793860893684,2.64628499047445,5.66403757066999
"baseline","Full","INDPRO",12,216,21.2544529993083,4.61025519893512,-1.81020793423123,0.154172528705412,0.28352525661507,0.566236295941353,0.205524386939644,1.78601472326838,4.24084144644902
"baseline","Medium","CPI",1,227,12.0669623394109,3.47375335039937,-0.0595768318314842,0.00029414187193446,0.605217739038074,0.398911596338346,0.151083166413396,0.807708957061377,3.51014113273495
"baseline","Medium","CPI",3,225,7.19991989671013,2.68326664659145,-0.0886035614166284,0.00109037200529098,0.434524223938751,0.568844822038077,-0.0157492798139712,0.788398763436889,2.55716658470093
"baseline","Medium","CPI",12,216,1.89150424636204,1.37531968878586,-0.14526015465862,0.0111554137782292,0.16536075682461,0.828083106542378,0.0458883944029082,0.668534273143302,1.22780216397505
"baseline","Medium","INDPRO",1,227,53.6073975409142,7.32170728320343,-1.46737904252489,0.0401661217147857,0.373215799384553,0.590865131459446,0.441483446317011,3.53916493880127,8.01209772682277
"baseline","Medium","INDPRO",3,225,25.7777313984072,5.07717750314161,-1.54454088039017,0.0925452474589695,0.204845019149109,0.706660870680051,0.522283286209724,3.36611679702976,5.66403757066999
"baseline","Medium","INDPRO",12,216,23.198847215847,4.81651816313891,-1.76659847121666,0.134526949958668,0.124205363454752,0.745293142633284,0.19850179348579,2.54336648340081,4.24084144644902
"baseline","Small","CPI",1,227,12.1262949733661,3.48228301167009,-0.00846898204686385,5.91472144357647e-06,0.595469021654542,0.408949816213743,0.141670381833956,0.822980362687001,3.51014113273495
"baseline","Small","CPI",3,225,7.13442788564309,2.67103498397964,-0.0608301461225093,0.000518654997513132,0.422204497495036,0.581738817797641,0.0122724524343669,0.82160110325907,2.55716658470093
"baseline","Small","CPI",12,216,1.79731470317347,1.34063966194256,-0.136252262438672,0.0103291198735968,0.178874818575411,0.815399181923673,0.0968338596350843,0.660797453718536,1.22780216397505
"baseline","Small","INDPRO",1,227,58.2699363639668,7.63347472413231,-1.39228615121741,0.033266909968182,0.366925059676349,0.604085610399858,0.351661964297868,3.3881708375126,8.01209772682277
"baseline","Small","INDPRO",3,225,30.6519932907148,5.53642423326779,-1.48955751100498,0.0723862085427075,0.189950166379445,0.741804758075424,0.382603449377696,3.25108269636485,5.66403757066999
"baseline","Small","INDPRO",12,216,25.8436331762889,5.08366336181782,-1.8354791414546,0.130360296314912,0.0973102872517915,0.77637425226439,0.109003530184325,2.65501315561341,4.24084144644902
