"scenario","model","variable","horizon","target_date","rel_rmsfe"
"baseline","Full","CPI",1,2001-02-28,NA
"baseline","Full","CPI",1,2001-03-31,NA
"baseline","Full","CPI",1,2001-04-30,NA
"baseline","Full","CPI",1,2001-05-31,NA
"baseline","Full","CPI",1,2001-06-30,NA
"baseline","Full","CPI",1,2001-07-31,NA
"baseline","Full","CPI",1,2001-08-31,NA
"baseline","Full","CPI",1,2001-09-30,NA
"baseline","Full","CPI",1,2001-10-31,NA
"baseline","Full","CPI",1,2001-11-30,NA
"baseline","Full","CPI",1,2001-12-31,NA
"baseline","Full","CPI",1,2002-01-31,NA
"baseline","Full","CPI",1,2002-02-28,NA
"baseline","Full","CPI",1,2002-03-31,NA
"baseline","Full","CPI",1,2002-04-30,NA
"baseline","Full","CPI",1,2002-05-31,NA
"baseline","Full","CPI",1,2002-06-30,NA
"baseline","Full","CPI",1,2002-07-31,NA
"baseline","Full","CPI",1,2002-08-31,NA
"baseline","Full","CPI",1,2002-09-30,NA
"baseline","Full","CPI",1,2002-10-31,NA
"baseline","Full","CPI",1,2002-11-30,NA
"baseline","Full","CPI",1,2002-12-31,NA
"baseline","Full","CPI",1,2003-01-31,NA
"baseline","Full","CPI",1,2003-02-28,NA
"baseline","Full","CPI",1,2003-03-31,NA
"baseline","Full","CPI",1,2003-04-30,NA
"baseline","Full","CPI",1,2003-05-31,NA
"baseline","Full","CPI",1,2003-06-30,NA
"baseline","Full","CPI",1,2003-07-31,NA
"baseline","Full","CPI",1,2003-08-31,NA
"baseline","Full","CPI",1,2003-09-30,NA
"baseline","Full","CPI",1,2003-10-31,NA
"baseline","Full","CPI",1,2003-11-30,NA
"baseline","Full","CPI",1,2003-12-31,NA
"baseline","Full","CPI",1,2004-01-31,NA
"baseline","Full","CPI",1,2004-02-29,NA
"baseline","Full","CPI",1,2004-03-31,NA
"baseline","Full","CPI",1,2004-04-30,NA
"baseline","Full","CPI",1,2004-05-31,NA
"baseline","Full","CPI",1,2004-06-30,NA
"baseline","Full","CPI",1,2004-07-31,NA
"baseline","Full","CPI",1,2004-08-31,NA
"baseline","Full","CPI",1,2004-09-30,NA
"baseline","Full","CPI",1,2004-10-31,NA
"baseline","Full","CPI",1,2004-11-30,NA
"baseline","Full","CPI",1,2004-12-31,NA
"baseline","Full","CPI",1,2005-01-31,NA
"baseline","Full","CPI",1,2005-02-28,NA
"baseline","Full","CPI",1,2005-03-31,NA
"baseline","Full","CPI",1,2005-04-30,NA
"baseline","Full","CPI",1,2005-05-31,NA
"baseline","Full","CPI",1,2005-06-30,NA
"baseline","Full","CPI",1,2005-07-31,NA
"baseline","Full","CPI",1,2005-08-31,NA
"baseline","Full","CPI",1,2005-09-30,NA
"baseline","Full","CPI",1,2005-10-31,NA
"baseline","Full","CPI",1,2005-11-30,NA
"baseline","Full","CPI",1,2005-12-31,NA
"baseline","Full","CPI",1,2006-01-31,1.02041148843698
"baseline","Full","CPI",1,2006-02-28,1.02422321221351
"baseline","Full","CPI",1,2006-03-31,1.02739708575967
"baseline","Full","CPI",1,2006-04-30,1.02681046556928
"baseline","Full","CPI",1,2006-05-31,1.02829470658604
"baseline","Full","CPI",1,2006-06-30,1.0304555720819
"baseline","Full","CPI",1,2006-07-31,1.03417302622268
"baseline","Full","CPI",1,2006-08-31,1.03095324566734
"baseline","Full","CPI",1,2006-09-30,1.02948314361099
"baseline","Full","CPI",1,2006-10-31,1.05753564873412
"baseline","Full","CPI",1,2006-11-30,1.05625010512931
"baseline","Full","CPI",1,2006-12-31,1.04918024574579
"baseline","Full","CPI",1,2007-01-31,1.04628485903672
"baseline","Full","CPI",1,2007-02-28,1.04657677890044
"baseline","Full","CPI",1,2007-03-31,1.04591279122171
"baseline","Full","CPI",1,2007-04-30,1.04220777060681
"baseline","Full","CPI",1,2007-05-31,1.04762117907634
"baseline","Full","CPI",1,2007-06-30,1.04796866711758
"baseline","Full","CPI",1,2007-07-31,1.04868540345734
"baseline","Full","CPI",1,2007-08-31,1.04684491600579
"baseline","Full","CPI",1,2007-09-30,1.04389078934086
