"scenario","model","variable","horizon","origin_date","origin_idx","target_date","forecast","actual","error","rolling_rmsfe"
"baseline","AR1","CPI",1,2001-01-31,193,2001-02-28,4.52643451879321,2.73037660456197,-1.79605791423124,NA
"baseline","AR1","CPI",1,2001-02-28,194,2001-03-31,3.01157860967004,0.681624556810334,-2.3299540528597,NA
"baseline","AR1","CPI",1,2001-03-31,195,2001-04-30,2.26166613914331,2.04255368463713,-0.219112454506184,NA
"baseline","AR1","CPI",1,2001-04-30,196,2001-05-31,2.74982207313905,6.10688340896601,3.35706133582697,NA
"baseline","AR1","CPI",1,2001-05-31,197,2001-06-30,4.22015704178036,2.70422649653206,-1.51593054524831,NA
"baseline","AR1","CPI",1,2001-06-30,198,2001-07-31,3.0017121759039,-2.02759834215271,-5.02931051805662,NA
"baseline","AR1","CPI",1,2001-07-31,199,2001-08-31,1.29905045405505,0,-1.29905045405505,NA
"baseline","AR1","CPI",1,2001-08-31,200,2001-09-30,1.98947011540899,4.72574450416516,2.73627438875617,NA
"baseline","AR1","CPI",1,2001-09-30,201,2001-10-31,3.69514919434313,-3.37363168505611,-7.06878087939925,NA
"baseline","AR1","CPI",1,2001-10-31,202,2001-11-30,0.881898921755028,-0.675865971118839,-1.55776489287387,NA
"baseline","AR1","CPI",1,2001-11-30,203,2001-12-31,1.75692727465521,-0.676246847990214,-2.43317412264542,NA
"baseline","AR1","CPI",1,2001-12-31,204,2002-01-31,1.7120388109054,2.02759834215271,0.315559531247316,NA
"baseline","AR1","CPI",1,2002-01-31,205,2002-02-28,2.68596211949705,2.02417815777487,-0.661783961722184,NA
"baseline","AR1","CPI",1,2002-02-28,206,2002-03-31,2.68086242790453,3.36606111312996,0.685198685225425,NA
"baseline","AR1","CPI",1,2002-03-31,207,2002-04-30,3.16516624043106,5.36613526967251,2.20096902924145,NA
"baseline","AR1","CPI",1,2002-04-30,208,2002-05-31,3.89318934669801,1.33779278069532,-2.55539656600269,NA
"baseline","AR1","CPI",1,2002-05-31,209,2002-06-30,2.44593915191352,0.668337527719487,-1.77760162419403,NA
"baseline","AR1","CPI",1,2002-06-30,210,2002-07-31,2.19428637247876,2.66963402653317,0.475347654054415,NA
